"ref","init.ent","init.check","source","source.sub","trt1","trt2","descrip","country","season","stor.type1","stor.type2","stor.mat","stor.scale","c.TAN","c.TN","DM","pH","air.temp","slurry.temp","wind","flux","units","meas.tech","meas.descrip","notes1","notes2","notes3","cf","id","pH.mean","cNH3","cNH3.g","cNH3.mpH","cNH3.g.mpH","tc0","tca","tcb","tcc","tcd","tce","tcf"
"Baldé et al. 2018","SGS","JL","Cattle","Dairy","Anaerobic digestion","Separation","Liquid fraction","Canada","Whole year","Tank","Walled","","Full (2600 m^3)",3.12,3.2,3.9,7.9,7,NA,NA,12.634971796938,"kg NH3 m-2 y-1","Micromet","Micromet. Annual a very average temp. Is assumed by SGSommer","JL corrected temperature to mean of annual range given in paper","","",2.25624496373892,47,7.52307692307692,0.0250260738786726,0.00728417559313651,0.0105539789120176,0.00307187759350905,12.634971796938,3.94842868654311,4.04967044773652,504.872312700459,1197.1761458184,1734.57814619999,4113.11043891722
"Baldé et al. 2018","SGS","JL","Cattle","Dairy","Anaerobic digestion","","Digestate","Canada","Whole year","Lagoon","Lagoon","","Full",1.542,3.4,4.7,7.4,7,NA,NA,8.12248186946011,"kg NH3 m-2 y-1","Micromet","Micromet. Annual a very average temp. Is assumed by SGSommer","JL corrected temperature to mean of annual range given in paper","","",2.25624496373892,48,7.52307692307692,0.00436096044139762,0.0012693162245051,0.00578463213531573,0.00168369503021602,8.12248186946011,2.38896525572356,5.26749796981849,1862.54426716538,1404.14838479902,6399.10032870417,4824.20018096625
"Bicudo et al. 2004","SGS","","Pig","","","","Slurry","USA","May - June","Lagoon","Lagoon","","Full",1.7,2.1,1.45,7.7,23.5,NA,NA,8.9856,"ug NH3 m-2 s-1","Wind tunnel","Wind tunnel","","Crust during summer","",0.0864,71,7.65912280701754,0.0315450541644497,0.0198771013165922,0.0287586228443278,0.0181213212385789,8.9856,4.27885714285714,5.28564705882353,284.849724877838,312.448897453804,452.057865826713,495.857883743616
"Bicudo et al. 2004","SGS","","Pig","","","","Slurry","USA","May - June","Lagoon","Lagoon","","Full",2.2,2.8,2.12,7.6,21.9,NA,NA,8.64,"ug NH3 m-2 s-1","Wind tunnel","Wind tunnel","","Crust during summer","",0.0864,72,7.65912280701754,0.0282735861310333,0.0165908460187074,0.0323375949339928,0.01897559282642,8.64,3.08571428571429,3.92727272727273,305.585572341552,267.181279796345,520.769103049825,455.32174299031
"Bicudo et al. 2004","SGS","","Pig","","","","Slurry","USA","May - June","Lagoon","Lagoon","","Full",2.6,3.1,1.85,7.6,21.4,NA,NA,8.3808,"ug NH3 m-2 s-1","Wind tunnel","Wind tunnel","","Crust during summer","",0.0864,73,7.65912280701754,0.0314342041873182,0.0180366761854169,0.0359562468607547,0.0206313854044375,8.3808,2.70348387096774,3.22338461538462,266.614034510253,233.083281257239,464.653238426273,406.216055573147
"Bicudo et al. 2004","SGS","AP","Pig","","","","Slurry","USA","May - June","Lagoon","Lagoon","","Full",1.7,2.1,1.45,7.7,23.5,NA,NA,8.9856,"ug NH3 m-2 s-1","Wind tunnel","Wind tunnel","","Crust during summer","",0.0864,83,7.65912280701754,0.0315450541644497,0.0198771013165922,0.0287586228443278,0.0181213212385789,8.9856,4.27885714285714,5.28564705882353,284.849724877838,312.448897453804,452.057865826713,495.857883743616
"Bicudo et al. 2004","SGS","AP","Pig","","","","Slurry","USA","May - June","Lagoon","Lagoon","","Full",2.2,2.8,2.12,7.6,21.9,NA,NA,8.64,"ug NH3 m-2 s-1","Wind tunnel","Wind tunnel","","Crust during summer","",0.0864,84,7.65912280701754,0.0282735861310333,0.0165908460187074,0.0323375949339928,0.01897559282642,8.64,3.08571428571429,3.92727272727273,305.585572341552,267.181279796345,520.769103049825,455.32174299031
"Bicudo et al. 2004","SGS","AP","Pig","","","","Slurry","USA","May - June","Lagoon","Lagoon","","Full",2.6,3.1,1.85,7.6,21.4,NA,NA,8.3808,"ug NH3 m-2 s-1","Wind tunnel","Wind tunnel","","Crust during summer","",0.0864,85,7.65912280701754,0.0314342041873182,0.0180366761854169,0.0359562468607547,0.0206313854044375,8.3808,2.70348387096774,3.22338461538462,266.614034510253,233.083281257239,464.653238426273,406.216055573147
"Leytem et al. 2018","SGS","AP","Cattle","Dairy","dry lot","","Slurry","USA","sept - june","Lagoon","Lagoon","","Full",0.1,0.3,5,7.7,7.9,"16",4.3,1.31764705882353,"kg NH3 ha-1 d-1","Micromet","Micromet","","","",0.0823529411764706,103,7.52307692307692,0.000753078390387945,0.00022914461489238,0.000502294012999113,0.000152836636451801,1.31764705882353,4.3921568627451,13.1764705882353,1749.68114294815,2623.25853926883,5750.28594690028,8621.277524902
"Leytem et al. 2018","SGS","AP","Cattle","Dairy","dry lot","","Slurry","USA","dec-june","Lagoon","Lagoon","","Full",0.151,0.451,5,7.9,14.2,"16",5.3,1.48235294117647,"kg NH3 ha-1 d-1","Micromet","Micromet","","","",0.0823529411764706,104,7.52307692307692,0.00285335460115472,0.00117573608417611,0.00121054105588449,0.000498808244935301,1.48235294117647,3.28681361679927,9.81690689520842,519.51234542548,1224.53751896368,1260.78714528458,2971.78917194671
"Leytem et al. 2018","SGS","AP","Cattle","Dairy","dry lot","","Slurry","USA","june-may","Lagoon","Lagoon","","Full",0.1,0.142,5,8.2,18.3,"15",4,0.988235294117647,"kg NH3 ha-1 d-1","Micromet","Micromet","","","",0.0823529411764706,105,7.52307692307692,0.00507044773892749,0.00252772908346142,0.00110908129953775,0.00055290128231511,0.988235294117647,6.95940347970174,9.88235294117647,194.900991983537,891.039542844631,390.957757531665,1787.36299901441
"Leytem et al. 2018","SGS","AP","Cattle","Dairy","freestall","","Slurry","USA","may-may","Lagoon","Lagoon","","Full",0.6,0.756,5,7.9,16,"17",4.3,3.54117647058824,"kg NH3 ha-1 d-1","Micromet","Micromet","","","",0.0823529411764706,106,7.52307692307692,0.0117783560403024,0.00528006712558191,0.00499903391805735,0.00224099480097954,3.54117647058824,4.68409586056645,5.90196078431373,300.651165448836,708.372163228761,670.668835521284,1580.18058276636
"Leytem et al. 2018","SGS","AP","Cattle","Dairy","dry lot","","Slurry","USA","July-Nov","Lagoon","Lagoon","","Full",0.1,0.266,5,8.3,15.7,"16",4.3,1.97647058823529,"kg NH3 ha-1 d-1","Micromet","Micromet","","","",0.0823529411764706,107,7.52307692307692,0.00524787968113916,0.00231989992166708,0.000915121431488796,0.000404542456424207,1.97647058823529,7.43034055727554,19.7647058823529,376.622694940723,2159.79051547269,851.963729028019,4885.69384213841
"Leytem et al. 2018","SGS","AP","Cattle","Dairy","dry lot","","Slurry","USA","Nov-Nov","Lagoon","Lagoon","","Full",0.2,0.378,5,8.2,14.5,"15",3.6,2.14117647058824,"kg NH3 ha-1 d-1","Micromet","Micromet","","","",0.0823529411764706,108,7.52307692307692,0.00745933428677446,0.00311734692812154,0.00161473107625567,0.000674815843718494,2.14117647058824,5.66448801742919,10.7058823529412,287.046589986533,1326.02666913014,686.858575563957,3172.97895495389
