Reference,Entered by,Checked by,Animal,Animal sub,Treatment 1,Treatment 2,Detailed description,Country,Season/rain,Storage description,Laboratory ,Storage material,Scale,TAN concentration,TN concentration,Dry matter concentration,pH,Air temp,Slurry temp,Wind speed,Emission from uncovered slurry,Emission units,Measurement method,Measurement method description,Notes 1,Notes 2,Notes 3
Holly et al. 2017,SGS,JL,Dairy,Dairy,Anaerobic digestion,,Digestate,USA,Winter (In barn),Tank,,Plastic,Laboratory,1.5,2.3,5.1,7.7,nd,nd,,0.8,kg NH3 m-2 y-1,Static chamber,Static chamber with circulating air,"JL retrieved barrel area of 0.143 m^2 from headspace and barrel volume given in text, and slurry mass of 179 kg from Supplement, to obtain emission rate",,
Aneja et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Summer,Lagoons,Lagoon,,Full,,0.648,,7.5,nd,30.0,,4017.0,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Fall,Lagoons,Lagoon,,Full,,0.663,,8.0,nd,11.6,,844.0,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Winter,Lagoons,Lagoon,,Full,,0.642,,7.8,nd,12.1,,305.0,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al. 2000,SGS,JL,Pig,,,,Slurry,USA,Spring,Lagoons,Lagoon,,Full,,0.603,,7.7,nd,24.7,,1706.0,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al 2001,SGS,JL,Pig,,,,Slurry,USA,Sept.,Lagoons,Lagoon,,Full,0.105,0.186,,7.8,nd,23.3,,80.1,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al 2001,SGS,JL,Pig,,,,Slurry,USA,Oct.,Lagoons,Lagoon,,Full,0.042,0.087,,6.9,nd,20.1,,57.8,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al 2001,SGS,JL,Pig,,,,Slurry,USA,Nov.,Lagoons,Lagoon,,Full,0.299,0.512,,7.4,nd,12.0,,40.7,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al 2001,SGS,JL,Pig,,,,Slurry,USA,Nov.,Lagoons,Lagoon,,Full,0.350,0.569,,7.0,nd,12.5,,51.5,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
Aneja et al 2001,SGS,JL,Pig,,,,Slurry,USA,Feb.,Lagoons,Lagoon,,Full,0.550,0.678,,7.3,nd,10.3,,120.3,ug NH3-N m-2 min-1 ,Dynamic chamber,Small dynamic chamber,,,
